Financial year,Local authority name,Region,Measure,Value,Units
2018-19,Newcastle upon Tyne,North East,Carers who found it easy to find information about services (Percentage),68.2,Percentage
2018-19,Newham,London,Carers who found it easy to find information about services (Percentage),54.9,Percentage
2018-19,Norfolk,East of England,Carers who found it easy to find information about services (Percentage),57.7,Percentage
2018-19,North East Lincolnshire,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),74.1,Percentage
2018-19,North Lincolnshire,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),76.2,Percentage
2018-19,North Somerset,South West,Carers who found it easy to find information about services (Percentage),61.3,Percentage
2018-19,North Tyneside,North East,Carers who found it easy to find information about services (Percentage),59.5,Percentage
2018-19,North Yorkshire,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),62.8,Percentage
2018-19,Northamptonshire,East Midlands,Carers who found it easy to find information about services (Percentage),57.7,Percentage
2018-19,Northumberland,North East,Carers who found it easy to find information about services (Percentage),75,Percentage
2018-19,Nottingham,East Midlands,Carers who found it easy to find information about services (Percentage),56.8,Percentage
2018-19,Nottinghamshire,East Midlands,Carers who found it easy to find information about services (Percentage),62.2,Percentage
2018-19,Oldham,North West,Carers who found it easy to find information about services (Percentage),55.4,Percentage
2018-19,Oxfordshire,South East,Carers who found it easy to find information about services (Percentage),63.8,Percentage
2018-19,Peterborough,East of England,Carers who found it easy to find information about services (Percentage),63.6,Percentage
2018-19,Plymouth,South West,Carers who found it easy to find information about services (Percentage),62.2,Percentage
2018-19,Poole,South West,Carers who found it easy to find information about services (Percentage),75.6,Percentage
2018-19,Portsmouth,South East,Carers who found it easy to find information about services (Percentage),73.4,Percentage
2018-19,Reading,South East,Carers who found it easy to find information about services (Percentage),54.7,Percentage
2018-19,Redbridge,London,Carers who found it easy to find information about services (Percentage),56.6,Percentage
2018-19,Redcar and Cleveland,North East,Carers who found it easy to find information about services (Percentage),78.6,Percentage
2018-19,Richmond upon Thames,London,Carers who found it easy to find information about services (Percentage),68.2,Percentage
2018-19,Rochdale,North West,Carers who found it easy to find information about services (Percentage),66.7,Percentage
2018-19,Rotherham,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),66,Percentage
2018-19,Rutland,East Midlands,Carers who found it easy to find information about services (Percentage),78.3,Percentage
2018-19,Salford,North West,Carers who found it easy to find information about services (Percentage),72.5,Percentage
2018-19,Sandwell,West Midlands,Carers who found it easy to find information about services (Percentage),51.9,Percentage
2018-19,Sefton,North West,Carers who found it easy to find information about services (Percentage),60.8,Percentage
2018-19,Sheffield,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),51.2,Percentage
2018-19,Shropshire,West Midlands,Carers who found it easy to find information about services (Percentage),63.4,Percentage
2018-19,Slough,South East,Carers who found it easy to find information about services (Percentage),63.7,Percentage
2018-19,Solihull,West Midlands,Carers who found it easy to find information about services (Percentage),67,Percentage
2018-19,Somerset,South West,Carers who found it easy to find information about services (Percentage),53.5,Percentage
2018-19,South Gloucestershire,South West,Carers who found it easy to find information about services (Percentage),68.8,Percentage
2018-19,South Tyneside,North East,Carers who found it easy to find information about services (Percentage),63.8,Percentage
2018-19,Southampton,South East,Carers who found it easy to find information about services (Percentage),58.7,Percentage
2018-19,Southend-on-Sea,East of England,Carers who found it easy to find information about services (Percentage),69.8,Percentage
2018-19,Southwark,London,Carers who found it easy to find information about services (Percentage),53.4,Percentage
2018-19,St. Helens,North West,Carers who found it easy to find information about services (Percentage),75.1,Percentage
2018-19,Staffordshire,West Midlands,Carers who found it easy to find information about services (Percentage),56.2,Percentage
2018-19,Stockport,North West,Carers who found it easy to find information about services (Percentage),60.3,Percentage
2018-19,Stockton-on-Tees,North East,Carers who found it easy to find information about services (Percentage),71.6,Percentage
2018-19,Stoke-on-Trent,West Midlands,Carers who found it easy to find information about services (Percentage),52.4,Percentage
2018-19,Suffolk,East of England,Carers who found it easy to find information about services (Percentage),61.8,Percentage
2018-19,Sunderland,North East,Carers who found it easy to find information about services (Percentage),64.9,Percentage
2018-19,Surrey,South East,Carers who found it easy to find information about services (Percentage),53.2,Percentage
2018-19,Sutton,London,Carers who found it easy to find information about services (Percentage),61.6,Percentage
2018-19,Swindon,South West,Carers who found it easy to find information about services (Percentage),63.9,Percentage
2018-19,Tameside,North West,Carers who found it easy to find information about services (Percentage),62.8,Percentage
2018-19,Telford and Wrekin,West Midlands,Carers who found it easy to find information about services (Percentage),60.8,Percentage
2018-19,Thurrock,East of England,Carers who found it easy to find information about services (Percentage),56.9,Percentage
2018-19,Torbay,South West,Carers who found it easy to find information about services (Percentage),72.2,Percentage
2018-19,Tower Hamlets,London,Carers who found it easy to find information about services (Percentage),74.3,Percentage
2018-19,Trafford,North West,Carers who found it easy to find information about services (Percentage),71.3,Percentage
2018-19,Wakefield,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),68.1,Percentage
2018-19,Walsall,West Midlands,Carers who found it easy to find information about services (Percentage),44,Percentage
2018-19,Waltham Forest,London,Carers who found it easy to find information about services (Percentage),45.9,Percentage
2018-19,Wandsworth,London,Carers who found it easy to find information about services (Percentage),56.2,Percentage
2018-19,Warrington,North West,Carers who found it easy to find information about services (Percentage),62.4,Percentage
2018-19,Warwickshire,West Midlands,Carers who found it easy to find information about services (Percentage),61,Percentage
2018-19,West Berkshire,South East,Carers who found it easy to find information about services (Percentage),62.4,Percentage
2018-19,West Sussex,South East,Carers who found it easy to find information about services (Percentage),71.6,Percentage
2018-19,Westminster,London,Carers who found it easy to find information about services (Percentage),68,Percentage
2018-19,Wigan,North West,Carers who found it easy to find information about services (Percentage),65.2,Percentage
2018-19,Wiltshire,South West,Carers who found it easy to find information about services (Percentage),63,Percentage
2018-19,Windsor and Maidenhead,South East,Carers who found it easy to find information about services (Percentage),69.2,Percentage
2018-19,Wirral,North West,Carers who found it easy to find information about services (Percentage),54.3,Percentage
2018-19,Wokingham,South East,Carers who found it easy to find information about services (Percentage),62.3,Percentage
2018-19,Wolverhampton,West Midlands,Carers who found it easy to find information about services (Percentage),59.1,Percentage
2018-19,Worcestershire,West Midlands,Carers who found it easy to find information about services (Percentage),62.1,Percentage
2018-19,York,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),67.3,Percentage
2018-19,Barking and Dagenham,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.43,Score (between -0.8 and 1.0)
2018-19,Barnet,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.428,Score (between -0.8 and 1.0)
2018-19,Barnsley,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.452,Score (between -0.8 and 1.0)
2018-19,Bath and North East Somerset,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.429,Score (between -0.8 and 1.0)
2018-19,Bedford,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.4,Score (between -0.8 and 1.0)
2018-19,Bexley,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.415,Score (between -0.8 and 1.0)
2018-19,Birmingham,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.415,Score (between -0.8 and 1.0)
2018-19,Blackburn with Darwen,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.377,Score (between -0.8 and 1.0)
2018-19,Blackpool,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.424,Score (between -0.8 and 1.0)
2018-19,Bolton,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.403,Score (between -0.8 and 1.0)
2018-19,Bournemouth,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.417,Score (between -0.8 and 1.0)
2018-19,Bracknell Forest,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.396,Score (between -0.8 and 1.0)
2018-19,Bradford,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.395,Score (between -0.8 and 1.0)
2018-19,Brent,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.412,Score (between -0.8 and 1.0)
2018-19,Brighton and Hove,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.367,Score (between -0.8 and 1.0)
2018-19,Bristol,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.408,Score (between -0.8 and 1.0)
2018-19,Bromley,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.395,Score (between -0.8 and 1.0)
2018-19,Buckinghamshire,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.394,Score (between -0.8 and 1.0)
2018-19,Bury,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.408,Score (between -0.8 and 1.0)
2018-19,Calderdale,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.391,Score (between -0.8 and 1.0)
2018-19,Cambridgeshire,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.43,Score (between -0.8 and 1.0)
2018-19,Camden,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.35,Score (between -0.8 and 1.0)
2018-19,Central Bedfordshire,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.409,Score (between -0.8 and 1.0)
2018-19,Cheshire East,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.41,Score (between -0.8 and 1.0)
2018-19,Cheshire West and Chester,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.399,Score (between -0.8 and 1.0)
2018-19,City of London,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.337,Score (between -0.8 and 1.0)
2018-19,Cornwall,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.431,Score (between -0.8 and 1.0)
2018-19,County Durham,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.429,Score (between -0.8 and 1.0)
2018-19,Coventry,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.391,Score (between -0.8 and 1.0)
2018-19,Croydon,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.342,Score (between -0.8 and 1.0)
2018-19,Cumbria,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.434,Score (between -0.8 and 1.0)
2018-19,Darlington,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.441,Score (between -0.8 and 1.0)
2018-19,Derby,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.394,Score (between -0.8 and 1.0)
2018-19,Derbyshire,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.43,Score (between -0.8 and 1.0)
2018-19,Devon,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.365,Score (between -0.8 and 1.0)
2018-19,Doncaster,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.438,Score (between -0.8 and 1.0)
2018-19,Dorset,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.412,Score (between -0.8 and 1.0)
2018-19,Dudley,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.428,Score (between -0.8 and 1.0)
2018-19,Ealing,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.366,Score (between -0.8 and 1.0)
2018-19,East Riding of Yorkshire,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.404,Score (between -0.8 and 1.0)
2018-19,East Sussex,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.395,Score (between -0.8 and 1.0)
2018-19,Enfield,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.436,Score (between -0.8 and 1.0)
2018-19,Essex,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.443,Score (between -0.8 and 1.0)
2018-19,Gateshead,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.42,Score (between -0.8 and 1.0)
2018-19,Gloucestershire,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.426,Score (between -0.8 and 1.0)
2018-19,Greenwich,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.392,Score (between -0.8 and 1.0)
2018-19,Hackney,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.385,Score (between -0.8 and 1.0)
2018-19,Halton,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.405,Score (between -0.8 and 1.0)
2018-19,Hammersmith and Fulham,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.337,Score (between -0.8 and 1.0)
2018-19,Hampshire,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.42,Score (between -0.8 and 1.0)
2018-19,Haringey,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.357,Score (between -0.8 and 1.0)
2018-19,Harrow,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.379,Score (between -0.8 and 1.0)
2018-19,Hartlepool,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.403,Score (between -0.8 and 1.0)
2018-19,Havering,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.42,Score (between -0.8 and 1.0)
2018-19,Herefordshire,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.415,Score (between -0.8 and 1.0)
2018-19,Hertfordshire,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.398,Score (between -0.8 and 1.0)
2018-19,Hillingdon,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.399,Score (between -0.8 and 1.0)
2018-19,Hounslow,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.407,Score (between -0.8 and 1.0)
2018-19,Isle of Wight,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.41,Score (between -0.8 and 1.0)
2018-19,Isles of Scilly,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),-,Score (between -0.8 and 1.0)
2018-19,Islington,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.393,Score (between -0.8 and 1.0)
2018-19,Kensington and Chelsea,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.332,Score (between -0.8 and 1.0)
2018-19,Kent,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.424,Score (between -0.8 and 1.0)
2018-19,Kingston Upon Hull,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.422,Score (between -0.8 and 1.0)
2018-19,Kingston upon Thames,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.403,Score (between -0.8 and 1.0)
2018-19,Kirklees,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.406,Score (between -0.8 and 1.0)
2018-19,Knowsley,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.411,Score (between -0.8 and 1.0)
2018-19,Lambeth,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.345,Score (between -0.8 and 1.0)
2018-19,Lancashire,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.409,Score (between -0.8 and 1.0)
2018-19,Leeds,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.362,Score (between -0.8 and 1.0)
2018-19,Leicester,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.419,Score (between -0.8 and 1.0)
2018-19,Leicestershire,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.415,Score (between -0.8 and 1.0)
2018-19,Lewisham,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.405,Score (between -0.8 and 1.0)
2018-19,Lincolnshire,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.401,Score (between -0.8 and 1.0)
2018-19,Liverpool,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.402,Score (between -0.8 and 1.0)
2018-19,Luton,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.427,Score (between -0.8 and 1.0)
2018-19,Manchester,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.328,Score (between -0.8 and 1.0)
2018-19,Medway,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.396,Score (between -0.8 and 1.0)
2018-19,Merton,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.388,Score (between -0.8 and 1.0)
2018-19,Middlesbrough,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.404,Score (between -0.8 and 1.0)
2018-19,Milton Keynes,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.422,Score (between -0.8 and 1.0)
2018-19,Newcastle upon Tyne,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.415,Score (between -0.8 and 1.0)
2018-19,Newham,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.386,Score (between -0.8 and 1.0)
2018-19,Norfolk,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.386,Score (between -0.8 and 1.0)
2018-19,North East Lincolnshire,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.41,Score (between -0.8 and 1.0)
2018-19,North Lincolnshire,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.422,Score (between -0.8 and 1.0)
2018-19,North Somerset,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.385,Score (between -0.8 and 1.0)
2018-19,North Tyneside,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.417,Score (between -0.8 and 1.0)
2018-19,North Yorkshire,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.453,Score (between -0.8 and 1.0)
2018-19,Northamptonshire,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.419,Score (between -0.8 and 1.0)
2018-19,Northumberland,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.386,Score (between -0.8 and 1.0)
2018-19,Nottingham,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.389,Score (between -0.8 and 1.0)
2018-19,Nottinghamshire,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.425,Score (between -0.8 and 1.0)
2018-19,Oldham,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.401,Score (between -0.8 and 1.0)
2018-19,Oxfordshire,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.398,Score (between -0.8 and 1.0)
2018-19,Peterborough,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.421,Score (between -0.8 and 1.0)
2018-19,Plymouth,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.401,Score (between -0.8 and 1.0)
2018-19,Poole,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.411,Score (between -0.8 and 1.0)
2018-19,Portsmouth,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.405,Score (between -0.8 and 1.0)
2018-19,Reading,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.356,Score (between -0.8 and 1.0)
2018-19,Redbridge,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.465,Score (between -0.8 and 1.0)
2018-19,Redcar and Cleveland,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.403,Score (between -0.8 and 1.0)
2018-19,Richmond upon Thames,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.411,Score (between -0.8 and 1.0)
2018-19,Rochdale,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.398,Score (between -0.8 and 1.0)
2018-19,Rotherham,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.419,Score (between -0.8 and 1.0)
2018-19,Rutland,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.488,Score (between -0.8 and 1.0)
2018-19,Salford,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.372,Score (between -0.8 and 1.0)
2018-19,Sandwell,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.472,Score (between -0.8 and 1.0)
2018-19,Sefton,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.404,Score (between -0.8 and 1.0)
2018-19,Sheffield,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.378,Score (between -0.8 and 1.0)
2018-19,Shropshire,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.406,Score (between -0.8 and 1.0)
2018-19,Slough,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.398,Score (between -0.8 and 1.0)
2018-19,Solihull,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.416,Score (between -0.8 and 1.0)
2018-19,Somerset,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.41,Score (between -0.8 and 1.0)
2018-19,South Gloucestershire,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.386,Score (between -0.8 and 1.0)
2018-19,South Tyneside,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.417,Score (between -0.8 and 1.0)
2018-19,Southampton,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.388,Score (between -0.8 and 1.0)
2018-19,Southend-on-Sea,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.398,Score (between -0.8 and 1.0)
2018-19,Southwark,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.301,Score (between -0.8 and 1.0)
2018-19,St. Helens,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.421,Score (between -0.8 and 1.0)
2018-19,Staffordshire,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.394,Score (between -0.8 and 1.0)
2018-19,Stockport,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.406,Score (between -0.8 and 1.0)
2018-19,Stockton-on-Tees,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.403,Score (between -0.8 and 1.0)
2018-19,Stoke-on-Trent,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.442,Score (between -0.8 and 1.0)
2018-19,Suffolk,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.422,Score (between -0.8 and 1.0)
2018-19,Sunderland,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.452,Score (between -0.8 and 1.0)
2018-19,Surrey,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.388,Score (between -0.8 and 1.0)
2018-19,Sutton,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.396,Score (between -0.8 and 1.0)
2018-19,Swindon,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.426,Score (between -0.8 and 1.0)
2018-19,Tameside,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.394,Score (between -0.8 and 1.0)
2018-19,Telford and Wrekin,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.44,Score (between -0.8 and 1.0)
2018-19,Thurrock,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.409,Score (between -0.8 and 1.0)
2018-19,Torbay,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.386,Score (between -0.8 and 1.0)
2018-19,Tower Hamlets,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.401,Score (between -0.8 and 1.0)
2018-19,Trafford,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.42,Score (between -0.8 and 1.0)
2018-19,Wakefield,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.424,Score (between -0.8 and 1.0)
2018-19,Walsall,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.427,Score (between -0.8 and 1.0)
2018-19,Waltham Forest,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.342,Score (between -0.8 and 1.0)
2018-19,Wandsworth,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.368,Score (between -0.8 and 1.0)
2018-19,Warrington,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.395,Score (between -0.8 and 1.0)
2018-19,Warwickshire,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.428,Score (between -0.8 and 1.0)
2018-19,West Berkshire,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.404,Score (between -0.8 and 1.0)
2018-19,West Sussex,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.41,Score (between -0.8 and 1.0)
2018-19,Westminster,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.349,Score (between -0.8 and 1.0)
2018-19,Wigan,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.394,Score (between -0.8 and 1.0)
2018-19,Wiltshire,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.434,Score (between -0.8 and 1.0)
2018-19,Windsor and Maidenhead,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.405,Score (between -0.8 and 1.0)
2018-19,Wirral,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.373,Score (between -0.8 and 1.0)
2018-19,Wokingham,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.39,Score (between -0.8 and 1.0)
2018-19,Wolverhampton,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.424,Score (between -0.8 and 1.0)
2018-19,Worcestershire,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.413,Score (between -0.8 and 1.0)
2018-19,York,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.404,Score (between -0.8 and 1.0)
2018-19,Barking and Dagenham,London,People who use services who found it easy to find information (Percentage),69.6,Percentage
2018-19,Barnet,London,People who use services who found it easy to find information (Percentage),70.4,Percentage
2018-19,Barnsley,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),73.1,Percentage
2018-19,Bath and North East Somerset,South West,People who use services who found it easy to find information (Percentage),71,Percentage
2018-19,Bedford,East of England,People who use services who found it easy to find information (Percentage),72,Percentage
2018-19,Bexley,London,People who use services who found it easy to find information (Percentage),67.4,Percentage
2018-19,Birmingham,West Midlands,People who use services who found it easy to find information (Percentage),65.4,Percentage
2018-19,Blackburn with Darwen,North West,People who use services who found it easy to find information (Percentage),78,Percentage
2018-19,Blackpool,North West,People who use services who found it easy to find information (Percentage),78.8,Percentage
2018-19,Bolton,North West,People who use services who found it easy to find information (Percentage),71,Percentage
2018-19,Bournemouth,South West,People who use services who found it easy to find information (Percentage),72.4,Percentage
2018-19,Bracknell Forest,South East,People who use services who found it easy to find information (Percentage),73.9,Percentage
2018-19,Bradford,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),70.1,Percentage
2018-19,Brent,London,People who use services who found it easy to find information (Percentage),60.9,Percentage
2018-19,Brighton and Hove,South East,People who use services who found it easy to find information (Percentage),70.5,Percentage
2018-19,Bristol,South West,People who use services who found it easy to find information (Percentage),71.5,Percentage
2018-19,Bromley,London,People who use services who found it easy to find information (Percentage),65.6,Percentage
2018-19,Buckinghamshire,South East,People who use services who found it easy to find information (Percentage),67.3,Percentage
2018-19,Bury,North West,People who use services who found it easy to find information (Percentage),66.6,Percentage
2018-19,Calderdale,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),66.9,Percentage
2018-19,Cambridgeshire,East of England,People who use services who found it easy to find information (Percentage),69.6,Percentage
2018-19,Camden,London,People who use services who found it easy to find information (Percentage),66.1,Percentage
2018-19,Central Bedfordshire,East of England,People who use services who found it easy to find information (Percentage),67.3,Percentage
2018-19,Cheshire East,North West,People who use services who found it easy to find information (Percentage),72.8,Percentage
2018-19,Cheshire West and Chester,North West,People who use services who found it easy to find information (Percentage),69.1,Percentage
2018-19,City of London,London,People who use services who found it easy to find information (Percentage),90.7,Percentage
2018-19,Cornwall,South West,People who use services who found it easy to find information (Percentage),67.5,Percentage
2018-19,County Durham,North East,People who use services who found it easy to find information (Percentage),75.7,Percentage
2018-19,Coventry,West Midlands,People who use services who found it easy to find information (Percentage),65,Percentage
2018-19,Croydon,London,People who use services who found it easy to find information (Percentage),66.4,Percentage
2018-19,Cumbria,North West,People who use services who found it easy to find information (Percentage),73.8,Percentage
